SalespersonKey,SalespersonName,LocationKey,Role
1,Liam Carter,1,Account Executive
2,Mia Davis,1,Account Executive
3,Mason Garcia,1,Account Executive
4,Liam Wright,2,Account Executive
5,Emma Hall,2,Account Executive
6,Noah Carter,2,Account Executive
7,Emma Lee,3,Account Executive
8,Mason King,3,Account Executive
9,Ava Wright,3,Account Executive
10,Sophia Wright,4,Account Executive
11,Benjamin Davis,4,Account Executive
12,Ella Wilson,4,Account Executive
13,Ava Brown,5,Account Executive
14,Benjamin Clark,5,Account Executive
15,Mia Garcia,5,Account Executive
16,Sophia Clark,6,Account Executive
17,Liam Patel,6,Account Executive
18,Harper Smith,6,Account Executive
